Альфред Нобель	Он прочёл в газете свой некролог, после чего и премию учредил.
Сильвия Плат	Она получила Пулитцеровскую премию посмертно, в 1982 году.
котобус	На нём ездит мой сосед Тоторо.
Ночь разбитых витрин	Другое название Хрустальной ночи
Хрустальная ночь	Серия еврейских погромов, организованных нацистами с 9 на 10 ноября 1938 года.
Дэвид Фостер Уоллес	Бесконечная шутка, 1996, автор романа.
Бесконечная шутка	Название этого романа взято из первой сцены пятого акта «Гамлета», в которой Гамлет держит череп придворного шута Йорика.
Бесконечная шутка	Этот роман содержит более 1200 страниц текста и список из 388 сносок.
метамодернизм	"Бесконечная шутка" - должен щёлкать этот жанр
хвосты	И кицунэ вплоть до 9 ИХ - чем больше, тем она старше и сильнее.
9	До стольки хвостов может быть у кицунэ. Цифрами.
Унабомбер	Это прозвище происходит от того, что его первыми адресатами были университеты и авиакомпании.
Унабомбер	В 1995 году ОН отправил письмо в The New York Times с требованием опубликовать его манифест. Назвать его прозвище.
Манифест Унабомбера	"Индустриальное общество и его будущее" - это ОН.
Индустриальное общество и его будущее	"Манифест Унабомбера" на самом деле назывался так.
автобусная остановка	Именно на НЕЙ девочка Сацуки знакомится с Тоторо и делится с ним зонтом.
Тоторо	Считается, что его имя происходит от неправильного произношения слова "тролль".
зонт	ИМ поделилась Сацуки с Тоторо при их знакомстве на автобусной остановке.
хранитель леса	Тоторо - это ОН (двумя словами)
Сацуки и Мэй	Эти две сестры познакомились с Тоторо.
акита-ину	Хатико был псом именно этой породы
Хатико	Его имя происходит от слова "восемь" и суффикса, означающего привязанность/зависимость.
Сибуя	На этой станции Хатико ждал хозяина.
Хидэсабуро Уэно	Этого профессора много лет тщетно ждал Хатико.
Грейфрайерс Бобби	Этот пёс 14 лет сторожил могилу своего хозяина. Должен щёлкать как предшественник Хатико.
Мартин Лютер	ОН бросил в дьявола-искусителя чернильницу
чернильница	ЕЁ бросил Мартин Лютер в дьявола
малиновый звон	Название ТАКОГО ЕГО происходит от названия города Мехелена (сейчас в Бельгии), который по-французски называется по-другому.
Питер Паркер	настоящее имя Человека-Паука
фотограф	Питер Паркер (человек-паук) в обычной жизни работает ИМ
Человек-паук	Питер Паркер -- это ОН
Коломбо	прежняя официальная и фактическая столица Шри-Ланки (местопребывание правительства, резиденция президента).
Сантьяго Рамон-и-Кахаль	Лауреат Нобелевской премии по физиологии и медицине за 1906 год (совместно с Камилло Гольджи).
ветрянка	безопасна для детей, опасная для взрослых
кубит	квантовый разряд, или наименьший элемент для хранения информации в квантовом компьютере.
кубит	ОН имеет два состояния 0 и 1, но может находиться в их суперпозиции.
плювиоз	Дождливый месяц из французского республиканского календаря.
Сэмюэль Коэн	американский физик, "отец нейтронной бомбы". Умер в 1921-2010.
нейтронная бомба	Сэмюэль Коэн считается её отцом-изобретателем.
Джордж Вернон Хадсон	Этот новозеландец в 1895 предложил переход на летнее время.
переход на летнее время	ЭТО предложил в 1895 году Джордж Вернон Хадсон.
Кит Харингтон	Этот актёр сыграл Джона Сноу в "Игре престолов"
Джон Сноу	ЕГО сыграл Кит Харингтон в "Игре Престолов"
Жертвуя пешкой	биографический фильм (байопик) о Бобби Фишере и его матче с Борисом Спасским. Первый показ 2014, прокат 2015.
гиппокамп	его название происходит от др. греч. "морской конёк".
гиппокамп	Участвует в механизмах формирования эмоций, консолидации памяти (то есть перехода кратковременной памяти в долговременную), пространственной памяти, необходимой для навигации.
28 дней спустя	Британский зомби-хоррор 2002 года режиссёра Дэнни Бойла по сценарию Алекса Гарленда
3 a.m. invention	Изобретение, опередившее своё время. По-английски.
Клякса	Известная собака клоуна Карандаша
Терминал	американская трагикомедия 2004 года режиссёра Стивена Спилберга. Главные роли сыграли Том Хэнкс и Кэтрин Зета-Джонс.
Терминал	фильм Спилберга, в котором герой застрял в аэропорту из-за аннулированной визы.
Сергей Крикалёв	этот космонавт был один из тех, кто вылетел на "Мир" из СССР, а вернулся уже в Россию (с 1991 по 1992, 311 дней на орбите)
однояйцевые близнецы	первая пересадка почек была выполнена между НИМИ.
Альбино Лучано	Иоанн Павел I до интронизации
Шарлотта Купер	эта многократная победительница Уимблдона оглохла в 26 лет
Кинг Кэмп Жиллетт	известный популяризатор бритв со сменными лезвиями
Иоанн Павел I	Этот папа был папой лишь 33 дня
Луиза Джой Браун	английская няня, ставшая первым человеком в мире, родившимся в результате искусственного (экстракорпорального) оплодотворения - ЭКО. Родилась в 1978 году.
Экстракорпоральное оплодотворение	Луиза Джой Браун в 1978 стала первым ребёнком, родившимся благодаря ЭТОМУ.
Фидиппид	греческий воин, принесший весть в Афины о победе греков над персами в битве при Марафоне (12 сентября 490 года до н. э.) и умерший тут же от изнеможения и кровопотери.
спартатлон	забег на дистанцию 246 километров. Проводится ежегодно в Греции с 1983 года между Афинами и Спартой.
246	В спартатлоне бегут столько километров
Афины и Спарта	Спартатлон с 1983 года проходит между этими городами
метла	опричинкам приписывается наличие не только собачьей головы, но и ЕЁ
собачья голова	опричники ездили с метлой и с НЕЙ
опричники	ОНИ одевались в чёрную одежду, подобную монашеской
опричники	ОНИ ездили с собачьей головой и метлой
Специя	в 2020 эта команда из одноимённого итальянского города впервые вышла в серию А
корабль Тесея	«Если все составные части исходного объекта были заменены, остаётся ли объект тем же объектом?» Это парадокс ЕГО
Келли	фамилия американских астронавтов братьев-близнецов
Дети полуночи	В ночь с 14 на 15 августа 1947 года родились они.
15.08.1947	В этот день Индия получила независимость от Британской империи.
Дети Полудня	д/ф о братьях Стругацких
Компромисс	сборник новелл Сергея Довлатова. Всего в книгу входит 12 новелл. Они создавались в 1973—1980 годах, а в единую книгу были собраны в 1981 году.
Сергей Довлатов	"Компромисс", сборник новелл (собраны в книгу в 1981). Автор.
Альберт Эйнштейн	Лауреат НП по физике за 1921 год.
тыквы	из них делают снеговика, если снега нет
Евгений Онегин	"Энциклопедия русской жизни"
232	Температура воспламенения бумаги по Цельсию -- столько целых градусов.
староиндийская защита	ОНА, легко преодолеваемая в ходе игры Фишером, упоминается во второй части песни Владимира Высоцкого «Честь шахматной короны».
чернопольный	"староиндийский" слон -- такой
И братья меч вам отдадут	последняя строчка стихотворения "Во глубине сибирских руд".
Во глубине сибирских руд	Стихотворение Пушкина, послание сосланным декабристам.
Суок	девочка из "Трёх толстяков"
Пер-Лашез	Для ЕГО популяризации перезахоронили останки Лафонтена, Мольера, Абеляра и Элоизы.
Рио-Гранде	Река на границе Техаса и Мексики
Любовь к трём апельсинам	опера Сергея Прокофьева в 4 действиях (10 картинах) с прологом по мотивам одноимённой сказки Карло Гоцци.
Сергей Прокофьев	Любовь к трём апельсинам, опера. Композитор.
Сандро Боттичелли	Прозвище "бочонок" перешло к нему от старшего брата Джованни, который был толстяком.
Бочонок	Сандро Боттичелли, прозвище, перешедшее от старшего брата.
Разрывая семейные узы	картина американского иллюстратора Нормана Роквелла, написанная для обложки журнала The Saturday Evening Post за 25 сентября 1954 года. Картина изображает отца и сына в ожидании поезда, который отвезёт молодого человека в университет штата. Картина, по мнению экспертов, является одним из шедевров Роквелла, а также одной из наиболее часто воспроизводимых. Она была признана вторым по популярности изображением за всю историю журнала (после «Застольной молитвы»).
Застольная молитва	Читатели The Saturday Evening Post проголосовали в 1955 году за ЭТУ КАРТИНУ Нормана Роквелла как за самое лучшее изображение в журнале за всю его историю.
Норман Роквелл	на протяжении четырёх десятилетий он иллюстрировал обложки журнала The Saturday Evening Post (321 обложку).
Волобуев	ЕГО меч пытались вернуть в роли (анекдот). Есть вариация про Ржевского.
Целом	вторичная полость тела многоклеточных животных. Заполнен специальной жидкостью, которая участвует в обмене веществ. У разных групп животных может быть связан с работой пищеварительной, кровеносной, выделительной и других систем органов, а иногда функционально заменяет некоторые из них.
Четверг Нонетот	героиня серии романов Джаспера Ффорде.
Джаспер Ффорде	У этого писателя тоже есть серия романов, где героиню (!) зовут Четверг Нонетот (Thursday Next).
Четверг Нонетот	ОНА живёт в параллельной Вселенной, где Англия уже более ста лет ведёт Крымскую войну с Россией (которая всё ещё является империей) и Уэльсом (который стал независимой от Англии социалистической республикой). В этом мире большой вес имеют литература и прочие искусства и существуют такие странные спецслужбы, как Хроностража и служба расследования литературных преступлений (литтективы).
Флэтчер Кристиан	ОН возглавил мятеж и принял командование кораблём "Баунти" 28 апреля 1789 года.
Острова Питкэрн	единственная заморская территория Великобритании в Тихом океане
Острова Питкэрн	ОНИ известны в основном благодаря тому, что их первоначальные поселенцы были мятежниками с британского корабля «Баунти», а также таитянками, которых они взяли с собой на остров
Острова Питкэрн	самая малонаселённая территория в мире, с населением 49 человек по оценке 2014 года.
Мятеж на "Баунти"	восстание 28 апреля 1789 года части экипажа во время экспедиции за хлебным деревом в Тихом океане.
Уильям Блай	ОН был низложен командой фрегата "Баунти" и с частью офицеров и не поддержавшей мятеж команды совершил плаванье на небольшом баркасе на Тимор.
Князь Мышкин	В начале романа ОН возвращается из санатория в Швейцарии, где провёл несколько лет, лечась от эпилепсии
эпилепсия	от НЕЁ лечился в Швейцарии Лев Николаевич Мышкин
Мышкин	Лев Николаевич может быть не только Толстой, но и ОН
Кукла наследника Тутти	ОНА была разлучённым близнецом Суок (Три толстяка). Тремя словами.
Джордж Вестингауз	В "войне токов" на стороне переменного тока стоял он.
Любовь, смерть и роботы	ЭТОТ антологический сериал (2019 и далее) — это коллекция из короткометражных анимационных фильмов, которые в основном представляют собой сочетание научной фантастики, фэнтези, ужасов, киберпанка и черного юмора, при этом фокусируются на взрослых темах, таких как расизм, война, свобода воли, природа и сущность человека. Производство сериала можно рассматривать как ответвление от кинопроекта по Heavy Metal, который Дэвид Финчер и Тим Миллер пытались запустить в конце 2000-х годов.
Мой создатель	Н/ф фильм, 2020. Муж воссоздаёт сознание погибшей жены в роботе.
Archive	Фильм "Мой создатель" в оригинале называется так.
Богомол	ОН долго сидит в засаде, притворяясь растением.
Самосбывающееся пророчество	предсказание, которое косвенно влияет на реальность таким образом, что в итоге оказывается верным.
Слинки	игрушка-пружина "Радуга" на самом деле называется так.
литий	Препараты на ЕГО основе используются для борьбы с депрессией и предотвращения самоубийств.
бинди	в индуизме — знак правды: цветная точка, которую индуски рисуют в центре лба, так называемый «третий глаз»
Ли Бо	По легендарной версии, ОН утонул в реке Гуси, притоке Янцзы, вывалившись пьяным из лодки, когда пытался поймать отражение луны в воде, а затем взлетел на небо.
Ли Бо	Китайский поэт времён династии Тан. Известный как «бессмертный в поэзии» (кит. 詩仙)[2], принадлежит к числу самых почитаемых поэтов в истории китайской литературы и считается одним из крупнейших мировых поэтов, стоящим в одном ряду с именами Данте и Петрарки, Низами и Фирдоуси, Пушкина и Шекспира. Он оставил после себя около 1100 произведений (включая около 900 стихотворений).
Османизация	градостроительные работы, проводившиеся в период Второй империи (третья четверть XIX века) по поручению Наполеона III под руководством барона - префекта департамента Сена и во многом определившие современный облик Парижа. Одним словом.
Османизация Парижа	ОНА определила современный облик французской столицы
Площадь Звезды	До 1970 года площадь Шарля-де-Голля в Париже называлась так.
Сите	один из двух сохранившихся островов реки Сены в центре Парижа и вместе с тем старейшая часть города.
водостоки Парижа	система подземных тоннелей, в которых проложены коммуникации города — водопровод (питьевая и промышленная вода), канализация, газопровод, электрический и телефонный кабель, трубы со сжатым воздухом. Столица Франции
циркумфлекс	Диактирический знак ^ называется так.
Торсхавн	столица Фарерских островов
Восьмая миля	американский фильм-драма 2002 года с Эминемом в главной роли.
Эминем	ОН сыграл главную роль в фильме "Восьмая миля" 2002 года.
Профессор Икс	Чарльз Ксавье, инвалид с парализованной нижней частью туловища. Добрый супергерой из комиксов Marvel.
И от Цезаря далёко, и от вьюги	Письма к римскому другу

<ЗАПОЛНИТЬ СТРОЧКУ>
Лебезить не нужно, трусить, торопиться. 
Говорят, что все наместники - ворюги, 
Но ворюга мне милей, чем кровопийца.
Общество мёртвых поэтов	художественный фильм, снятый режиссёром Питером Уиром в 1989 году.
Премия «Оскар» за лучший оригинальный сценарий, также фильм номинировался в категориях «Лучший фильм» и «Лучшая мужская роль» (Робин Уильямс). Две премии «БАФТА» за лучший фильм года и лучшую музыку.
крейсер "Аврора"	Одно из официальных обозначений ЭТОГО — проект 01917
Мультивселенная	гипотетическое множество всех возможных реально существующих параллельных вселенных (включая ту, в которой мы находимся).
Ленинград	Человек Рассеяный жил на улице Бассейной в этом городе.
котелок	"человек в НЁМ -- это просто посредственность" (Магритт)
велосипед	Когда я был маленьким, я молился о НЁМ. Потом я понял, что богработает по-другому: я украл ЕГО и стал молиться о прощении.
Сын человеческий	Картина Рене Магритта, где человек с яблоком.
число Тау	ОНО в два раза больше, чем Пи. Для удобства формулы длины окружности.
Киса и Ося	ОНИ писали что "здесь были" (в частности, у "Ворот Кавказа")
Логогриф	поэтический и стилистический приём, заключающийся в построении фразы таким образом, чтобы количество букв или звуков в исходном слове или словосочетании постепенно убывало (как правило, в начале соответствующего слова).
Небо и земля	В Германии блюдо "острая молния" из картофеля и яблок называют так (написать перевод по русски)
Николас Тульп	Его урок анатомии нам хорошо известен по картине Рембрандта.
День велосипеда	19 апреля 1943 года — дата, когда доктор Альберт Хофманн первым из людей преднамеренно принял ЛСД.
ехал на велосипеде	после того, как 19 апреля 1943 Альберт Хофман принял ЛСД, он ДЕЛАЛ ЭТО, и всё казалось ему медленнее, чем на самом деле. Должно щёлкать на "ЛСД трип".
панты	рога оленей в период их ежегодного роста,
Иван Кивелиди	Убийство этого банкира в 1995 году считается первым применением "Новичка" для подобных убийств.
Уильям Кьюбитт	ОН изобрёл тюремную "беговую дорожку", где заключённые ходили и перемалывали зерно (шаговая мельница)
Нас всех тошнит	"Неудачный спектакль", Хармса.

Театр закрывается. <ЗАКОНЧИТЬ>
театр	Когда ОН закрывается, "нас всех тошнит" (Хармс)
