Эдвард Хоппер	"Полуночники", 1942. Художник.
Хлопок	Король юга
Путь в Дамаск	Савл обрёл веру (ему явился Иисус) и стал апостолом Павлом. Во время чего?
Портрет четы Арнольфини	картина Яна ван Эйка, где купец похож на Путина
Евгений Онегин	Как назывался корабль в "Полосатом рейсе"?
Миссури	Линкор, на борту которого было подписано соглашение о капитуляции Японии во Второй Мировой Войне.
Росинант	конь Дон Кихота
Алонсо Кихана	Настоящее имя Дон Кихота
Ариадна Эфрон	Дочь Марины Цветаевой
Череп	Перевод слова "Голгофа" с арамейского
Певец джаза	Первый полнометражный звуковой фильм
Пойди, поставь сторожа	Роман писательницы Харпер Ли, поступивший в продажу в 2015 году.
Карбонарии	Члены тайного, строго законспирированного общества в Италии в 1807—1832 годах. Движение за освобождение Италии (против тирании неаполитанских Бурбонов.)
Макс Фасмер	(1886-1962) -- русский и немецкий лингвист, лексикограф, славист и балканист российского происхождения.
турнюр	модное в 1870—1880-х годах приспособление в виде подушечки, которая подкладывалась дамами сзади под платье ниже талии для придания пышности фигуре.
Симплегады	в греческой мифологии — скалы, плававшие у входа в Понт Эвксинский: сталкиваясь, эти скалы уничтожали корабли.
Симплегады	в переносном смысле означают двустороннюю одновременную опасность.
Корабль	Как переводится с французского слово "неф"?
Фэн-шуй	"Ветер" и "вода"
добыча угля	Чем занимались карбонарии?
Семейное счастие	Роман Льва Толстого от женского лица
Постум	Бродский, "Письма к Римскому другу (из Марциала)".
К кому обращено письмо?
Лучше жить в глухой провинции у моря	Если выпало в империи родиться,... продолжить
Фредерик Бегбедер	"Любовь живёт три года", 1997, автор
Братья Васильевы	Советские кинорежиссёры-однофамильцы
Доля ангелов	спирт, испаряющийся при выдержке коньяка или виски
Абелевская премия	Аналог Нобелевской премии для математиков
Эразм Дарвин	Дед Чарзла Дарвина
Эразм Дарвин	высказывал учения, схожие с теорией эволюции.
Черный бивень	сорт кофе, производимый из зерен арабики, пропущенных через пищеварительный тракт слонов
Листья травы	Поэтический сборник американского поэта Уолта Уитмена (1819—1892). Первое издание было опубликовано в 1855 году
Томас Гексли	Бульдог Дарвина
Карантин	Сорок дней
Расстрел императора Максимилиана	Серия работ Эдуарда Мане 1867-1869 годов, изображающих сцену казни.
Джон Констебл	(1776-1837) Английский художник, известный пейзажами
Телега для Сена	(1821) -- известная картина Джона Констебла. Выставляется в Лондонской национальной галерее и считается самым известным полотном Констебла, а также одной из наиболее популярных английских картин.
Понт Эвксинский	"Гостеприимное море"
Понт Эвксинский	Как древние греки называли Чёрное море?
Антигона	Пример верной дочери
Зубочистки	Что считал "Человек дождя"?
Человек дождя	Кто считал упавшие зубочистки?
Ким Пик	Прототип "Человека дождя"
Иоганн Петер Эккерман	Биограф, друг и секретарь Гёте
Трехгрошовая опера	Мэкки Нож -- герой какой пьесы?
Венера в мехах	Повесть Леопольда фон Захер-Мазоха
Битва при Седане	Закончившись полным разгромом основных сил французской армии и пленением Наполеона III, она определила исход франко-прусской войны 1870 года.
Хулио Кортасар	"Игра в классики", 1963, автор
Игра в классики	Какой роман можно читать по разным схемам?
62. Модель для сборки	Другой известный роман Кортасара, НЕ "Игра в классики".
Новое платье короля	Сказка Андерсена про "А король-то голый!"
Ник Вуйчич	Австралийский мотивационный оратор без рук и ног
Зиплайн	спуск с использованием сил гравитации по стальному канату с отрывом от земли, по воздуху, с помощью специального устройства, использующего блоки
Кастальский ключ	источник на горе Парнас, источник поэтического вдохновения
Дельфы	около какого города бил Кастальский ключ?
Тихий американец	Роман Грэма Грина, 1955, критикует внешнюю политику США во Вьетнаме.
Фо	вьетнамский суп
Рокки 3	Темой какого фильма была песня "Eye of the tiger"?
Шекспир и Сервантес	Умерли в один день 1616 года, но по разным календарям
Джон Ячменное Зерно	Олицетворяет алкогольные напитки в англоязычном фольклоре
Джон Рид	"Десять дней, которые потрясли мир", автор
Десять дней, которые потрясли мир	Книга Джона Рида об Октябрьской революции 1917 года, написана в 1919
Восставшая Мексика	Книга Джона Рида о мексиканской революции.
Майкл Коллинз	астронавт миссии Аполлон-11, оставшийся на орбите, когда Нил Армстронг и Эдвин "Базз" Олдрин спустились на поверхность луны.
Клятва в зале для игры в мяч	первое открытое выступление третьего сословия против короля в самом начале Великой французской революции
пакеты молока	На них печатают фотографии пропавших людей и объявления о них
Вар, верни мне мои легионы	Фраза Октавиана Августа о поражении в битве в Тевтобургском лесу
Публий Квинтилий Вар	Римский командующий в битве в Тевтобургском лесу
Битва в Тевтобургском лесу	сражение в сентябре 9 года между германцами и римской армией. В результате неожиданного нападения восставших германских племён под предводительством вождя херусков Арминия на римскую армию в Германии во время её марша находившиеся в её составе все 3 легиона были уничтожены, римский командующий Квинтилий Вар погиб.
паук	Как можно перевести "Ловец снов"?
Стромболи	"Маяк Средиземноморья" (непрерывно извергался в течение двух тысяч лет).
Симпсоны	У них на руках по 4 пальца
Ксантиппа	жена Сократа, известная своей сварливостью
Олимпия де Гуж	«Женщина имеет право подниматься на эшафот; она должна также иметь право всходить на трибуну». Автор цитаты?
Пермяк соленые уши	Прозвище жителей Перми
Пермь	Эта область называлась Бьярмия. Жители -- Биармы или Бьярмы. Какой город там теперь столица?
Харальд Синезубый	Объединил Данию и Норвегию.
Харальд Синезубый	В честь него назвали bluetooth
Тимоти Лири	Популяризатор ЛСД. Должен щёлкать на ЛСД и психоделику.
Тимоти Лири	Свою знаменитую песню «Come Together» Джон Леннон написал специально для НЕГО, взяв за основу его предвыборный лозунг.
Нильс Бор	Он был косноязычен, а его брат -- красноречив
диоскуры	Близнецы Кастор и Поллукс как называются?
Суд Париса	Скандал из-за конкурса красоты, аллюзия на какой сюжет?
Лукас Кранах Старший	Автор самых известных картин на сюжет суда Париса.
Афродита	Кто выиграл в суде Париса?
Афина, Афродита, Гера	Какие богини соревновались в суде Париса? Через запятую, в алфавитном порядке.
Пьета	типичный для эпохи Возрождения сюжет, изображающий мёртвого Иисуса.
футбол	Во что играли братья Нильс и Харальд Боры?
Лебедь и Леда	Родители следующих детей: Кастор и Полидевк (рим. Поллукс), Елена Прекрасная и Клитемнестра.
Джон Стит Пембертон	Изобретатель "Кока-Колы"
Джон Стит Пембертон	Аптекарь/фармацевт из Атланты
Кока-Кола	Какой напиток должен щёлкать на Атланту?
Чикшулуб	древний ударный кратер диаметром около 180 км и изначальной глубиной до 17—20 км, находящийся на полуострове Юкатан, и входящий в список крупнейших кратеров на Земле
Ватерлоо	Это название означает "влажный лес" или "влажная поляна"
Год без лета	прозвище 1816 года, в котором в Европе и Северной Америке царила необычайно холодная погода.
Тысяча восемьсот насмерть замерзший	Прозвище 1816 года в Англии (из 4 слов)
Тамбора	Извержение какого вулкана в 1815 году привело к "году без лета"?
Опиум	Что стали выращивать вместо риса фермеры Китая после извержения вулкана Тамбора?
Луис де Камоэнс	"Лузиады", автор
Лузиады	Эпос про португальскую историю, 1556 год.
Жак Паганель	ОН учил испанский язык по "Лузиадам", а выучил на самом деле португальский.
Зеленые ботинки	Труп альпиниста, считающийся отметкой 8500 метров при восхождении на Эверест
Тенцинг Норгей	Шерп, первое восхождение на эверест (1953)
Эдмунд Хиллари	Первый официальный покоритель Эвереста (1953)
Джордж Мэллори	Возможно первый покоритель Эвереста в 1924 году.
Зона смерти	альпинистский термин, которым обозначаются высоты от примерно 8000 метров над уровнем моря и выше, либо высоты, на которых атмосферное давление ниже 35,6 кПа (267 мм рт. ст), и уровень кислорода в воздухе недостаточен для поддержания жизни человека.
Oasis	Эта группа сначала называлась "The Rain"
декантация	отделение осадка вина (сцеживание)
Николай Зелинский	Российский изобретатель противогаза
Лоуренс Аравийский	Погиб в аварии на мотоцикле, пытаясь объехать велосипедистов.
Семь столпов мудрости	беллетризованные мемуары британского офицера Т. Э. Лоуренса (Лоуренса Аравийского) о времени Арабского восстания против Османской империи в 1916—1918 годах.
атака мертвецов	распространённое публицистическое название контратаки 13-й роты 226-го Землянского полка 24 июля (6 августа) 1915 года при отражении немецкой газовой атаки.
Лоуренс Аравийский	Его гибель привела к внедрению мотоциклетных шлемов
Сдача Бреды	Картина Веласкеса с копьями
Блэкпул	тёмная заводь, находится напротив Дублина через Ирландское море.
Тонкая красная линия	оборона 93-го шотландского пехотного полка горцев в битве при Балаклаве 25 октября 1854 года
Роберт Гибб	Автор картины "Тонкая красная линия".
93	Номер полка в "Тонкой красной линии".
1854	В каком году произошло Балаклавское сражение
Альфред Теннисон	Автор стихотворения/поэмы "Атака легкой бригады".
Лорд Кардиган	Командующий английской кавалерийской бригады в "Атаке легкой кавалерии".
Атака легкой кавалерии	Героическая, но катастрофическая по последствиям атака британской кавалерии под командованием лорда Д. Кардигана на позиции Русской армии во время Балаклавского сражения 25 октября 1854 года в ходе Крымской войны.
Ольга Токарчук	польская писательница и поэтесса. Обладательница Международной Букеровской премии (2018) и Нобелевской премии по литературе (2018, присуждена в 2019 году).
Последний рейс корабля "Отважный"	картина Тёрнера о смене паровыми кораблями парусных
Последний рейс корабля "Отважный"	Эта картина была признана любимой картиной в Великобритании в 2005 году.
Трафальгарское сражение	Корабль "Отважный" по-настоящему участвовал только в ЭТОЙ БИТВЕ.
Латынь	На этом языке была написана "Утопия" Томаса Мора
Человек с киноаппаратом	самый известный фильм Дзиги Вертова, 1928 год, часто называют величайшим из всех документальных фильмов в истории
Дзига Вертов	советский кинорежиссёр и сценарист, один из основателей и теоретиков документального кино.
Настоящее имя -- Давид Кауфман
Дзига Вертов	Придумал методику "скрытая камера"
Кино-глаз	Фильм Дзиги Вертова, где камера располагалась на паровозном шатуне. Должен щёлкать на искусственное зрение.
Где Уолли?	серия детских книг, где нужно найти персонажа в куче других людей
Мартин Хендфорд	Автор книг "Где Уолли?"
Детская болезнь "левизны" в коммунизме	труд В. И. Ленина, содержащий резкую критику противников большевизма из революционно-социалистического лагеря. 1920 год. Посвящен мистеру Ллойд-Джорджу (премьер-министру Великобритании)
Элизабет Кюблер-Росс	Автор "пяти степеней принятия неизбежного"
Голенищев	Первая часть фамилии Кутузова
Тинторетто	венецианский художник
Нина Демурова	Переводчица Кэрролла
Ларс фон Триер	Автор киноправил "Догма 95", известный из двух
Томас Винтерберг	Автор киноправил "Догма 95", НЕизвестный из двух
Догма 95	манифест в кинематографе, подписанный Ларсом фон Триером и Томасом Винтербергом
Феникс	На гербе Ковентри изображён ОН
Сэмюэл Беккет	"В ожидании Годо", автор
В ожидании Годо	Самое влиятельное англоязычное драматургическое произведение XX века
мистраль	холодный горный ветер в Провансе
разводы	Они запрещены у католиков
Беатификация	обряд причисления умершего к лику блаженных в католической церкви.
Кароль Войтыла	Настоящее имя Иоанна Павла II
Иоанн Павел II	Реабилитировал Галилея и Коперника
Иоанн Павел II	В Кракове аэропорт назван его именем
Иоанн Павел II	"Лацио" подарил ему футболку с номером 80
Одихмантий	Имя отца Соловья-Разбойника
Силенд	виртуальное государство, провозглашённое в 1967 году британским отставным майором Пэдди Роем Бейтсом (1921-2012)
Бурано	квартал Венеции, известный ярко окрашенными домами и производством кружев
Памплона	В этом городе происходят бега человека от быков
Акакий Акакиевич Башмачкин	Главный герой "Шинели" (ФИО полностью)
Жеводанский зверь	прозвище волкоподобного существа, зверя-людоеда, терроризировавшего север французской провинции
Оскар	Первое имя Клода Моне
Ла-Сьота	На какой вокзал прибывает поезд у братьев Люмьер?
4 33	Пьеса Джона Кейджа (через пробел)
Впечатление. Восходящее солнце.	Известная картина Клода Моне, давшая названия художественному направлению "импрессионизм".
Мартин	как зовут гуся?
Кермит	Как зовут лягушонка из "Улицы Сезам"?
Альберт Хофман	(1906-2008) швейцарский химик и литератор, широко известный как «отец» ЛСД.
ладан	Что жгли перед жертвоприношениями? Например, при Александре Макендонском.
Амброз Бирс	Американский писатель, бесследно исчез в Мексике во время революции в 1913 году.
Шаг вперед, два шага назад	Книга Ленина (1904 год). Подзаголовок -- "Кризис в нашей партии".
09.01.1905	Дата "кровавого воскресенья" в россии
Северная Ирландия	в этой стране произошло "Кровавое воскресенье" 1972 года.
Поп Гапон	Этот священник известен по событиям "Кровавого воскресенья"
Распределяющая шляпа	в Гарри Поттере на основе мыслей относила учеников по факультетам.
Опиумные войны	Должны щёлкать на "Англия против Китая"
Похищение Европы	Картина Валентина Серова, 1910 год
белый бык	В его образе Зевс похитил Европу (два слова).
Что позволено Юпитеру, не позволено быку	Quod licet Iovi, non licet bovi
Стромболи	Оригинальная фамилия Карабаса-Барабаса (в "Пиноккио")
Александр Блок	Он был зятем Дмитрия Менделеева
Октябрь	Фильм Эйзенштейна по книге "Десять дней, которые потрясли мир".
Декамерон	десятидневник
Странник над морем тумана	картина немецкого художника-романтика Каспара Давида Фридриха, одна из знаковых картин романтизма. 1818 год.
Странствующий голубь	Истребленная в Америке птица
Проблема вагонетки	мысленный эксперимент, описанный Филиппой Фут
Проблема вагонетки	выбор между двумя действиями с плохим концом
Красный флаг	В фильме "Броненосец Потёмкин" есть знаменитый он (два слова)
Венера в мехах	Сюжет с порабощением мужчины женщиной. Мужчина-раб и женщина-госпожа.
уиджа	спиритическая доска
Жозефина Бейкер	(1906-1975) — американо-французская танцовщица, певица и актриса. "Черная жемчужина".
Роб Янов	Автор логотипа Apple
Комната 101	Место пыток из романа "1984"
ревность	у нее зеленые глаза (по Шекспиру)
Джексон Поллок	Художник-абстракционист, "Номер 5"
разбрызгивание	Джексон Поллок, техника
Номер Пять	Джексон Поллок, самая дорогая картина (словами)
Человек, который смеется	Гюго, роман про похищение ребенка
Виктор Гюго	"Человек, который смеется", автор
Гибли	анимационная студия Хаяо Миядзаки
Финеас Тейлор Барнум	Американский антерпренер и шоумен, крупнейшая фигура американского шоу-бизнеса XIX века
Чанг и Энг Банкеры	сиамские близнецы из цирка Барнума
Зефирный эксперимент	Если ты проявишь терпение, тебя ждёт больший успех в жизни.
Каспар Давид Фридрих	"Странник над морем тумана" 1818, автор
Странник над морем тумана	Картина, на которой герой стоит спиной к зрителю.
Что есть истина?	Картина Николая Ге, Христос и Пилат (1890)
Николай Ге	"Что есть истина? Христос и Пилат", автор картины (имя и фамилия)
Джесси Оуэнс	Темнокожий легкоатлет, ставший 4-кратным олимпийским чемпионом на ОИ 1936 года в Берлине
В Сантьяго идет дождь	Пароль к началу государственного переворота 1973 года в Чили.
Шаварш Карапетян	Спас людей из упавшего в воду троллейбуса
Над всей Испанией безоблачное небо	По некоторым версиям, в 1936 году эта фраза прозвучала в радиоэфире и стала паролем к началу военного мятежа в Испании, который затем перерос в гражданскую войну 1936-1939 годов
Шарлен Уиттсток	Принцесса Монако, пловчиха
Грейс Келли	Актриса, Оскар, принцесса Монако (1929-1982). Мать Альбера II
Джефри Чосер	Заимствовал сюжеты у Боккаччо
Василий Суриков	«Переход Суворова через Альпы» 1899, автор
Новый Амстердам	Более раннее название Нью-Йорка
Вратарь республики	Роман Льва Кассиля на спортивную тему, 1937 год.
Антон Кандидов	"Вратарь республики", главный герой
Чай	Бульон из жидкого нефрита
Портрет Франца-Иосифа	ОН был засижен мухами в пивной "У Чаши" в "Похождениях бравого солдата Швейка"
замолаживает	Первое слово, записанное Владимиром Далем для словаря
сифилис	Что лечили ртутью?
ртуть	Чем раньше лечили сифилис?
Амальтея	Коза, вскормившая своим молоком Зевса
Леонид	"Сын льва" (др. греч.), имя
Жорж Кювье	По одной части восстановить целое? Кто должен щёлкать?
Дайте мне одну кость, и я восстановлю животное.	Известная цитата Жоржа Кювье
Лето любви	время года 1967 года, когда в квартале Сан-Франциско под названием Хейт-Эшбери собралось около ста тысяч хиппи, знакомых и незнакомых, чтобы праздновать любовь и свободу, создавая тем самым уникальный феномен культурного, социального и политического бунта.
Герберт фон Караян	Великий австрийский дирижёр греческого происхождения. Работал с Берлинским филармоническим оркестром на протяжении 35 лет.
селфи	"Слово 2013 года" по версии Оксфордского словаря английского языка
трубы страшного суда	ИХ звук заставляет мертвых вставать из могил
Эмиль Золя	"Чрево Парижа", 1873, автор (имя и фамилия)
Чрево Парижа	Прозвище центрального рынка французской столицы
центр Помпиду	музей современного искусства в Париже
Центр Помпиду	В каком здании все коммуникации вынесены наружу здания?
Коко Шанель	Какая женщина должна щёлкать на Игоря Стравинского?
Национальная портретная галерея	Известный художественный музей в Лондоне
Кентерберийские рассказы	Произведение, в котором истории рассказывают представители различных сословий
Йомен	в феодальной Англии -- свободные мелкие землевладельцы, которые, в отличие от джентри, самостоятельно занимались обработкой земли.
В единственном числе
Йоркширский йомен	Кем был Робин Гуд? Два слова на одну букву.
Комплекс Электры	Аналог Эдипова Комплекса для девочек
Лисистрата	Комедия Аристофана о женщине, которая смогла остановить войну между Спартой и Афинами хитроумным способом — с помощью женской «сексуальной забастовки».
Тиндарей	Царь Спарты, муж Леды
Шрам	Лев, отрицательный персонаж мультфильма "Король Лев"
Граф Уголино	ОН был замурован в башне со своими детьми и внуками и, как считается, поедал их тела.
Углич	В каком городе "казнили" колокол за весть о смерти царевича Дмитрия?
Павел I	Кто был убит ударом табакерки в висок?
Притча о слепых	Картина Питера Брейгеля Старшего о слепых, точное название.
крестословица	Слово, придуманное Набоковым для обозначения кроссворда.
Грендель	Чудовище из эпоса "Беовульф"
Беовульф	древнейшая англосаксонская поэма
Беовульф	Этим произведением вдохновлялся Толкин при создании "Хоббита" и "Властелина Колец"
Арфы нет - возьмите бубен!	Фраза, сказанная капитаном "Маэстро" Титаренко Кузнечику в фильме "В бой идут одни старики" перед исполнением песни "Клён кудрявый".
медведь	Что означает кеннинг "Беовульф" (пчелиный волк)?
Сергей Довлатов	В его произведениях в каждом предложении все слова начинаются на разные буквы. (имя и фамилия).
Мата Хари	Она якобы обнажилась перед расстрелом
Человеческая комедия	Самое известное произведение Бальзака, огромный цикл сочинений
Игорь Северянин	Автор сборника стихов "Громокипящий Кубок"
Оноре де Бальзак	"Человеческая комедия", автор
Спартак	В фильме Стэнли Кубрика на просьбу выдать его все соратники представляются его именем
Унабомбер	Теодор Казински, рассылал бомбы по почте. Прозвище.
Нагльфар	в германо-скандинавской мифологии — корабль, сделанный целиком из ногтей мертвецов.
Триллер в Маниле	Боксёрский поединок между Али и Джо Фрейзером, 1 октября 1975
Грохот в джунглях	боксёрский поединок между Мохаммедом Али и Джорджем Форманом, состоявшийся 30 октября 1974 года в городе Киншаса, Заир (ныне Демократическая Республика Конго).
Заир	Старое название ДР Конго
Джо Фрейзер	Соперник Али в "Триллере в Маниле".
Джордж Форман	Соперник Али в "Грохоте в джунглях"
Реймс	Город, в котором короновались французские короли
Василий Зайцев	Знаменитый советский снайпер, Сталинградский фронт.
Враг у ворот	Зарубежный фильм 2001 года, посвященный советскому снайперу Сталинградской битвы Василию Зайцеву
лис пустыни	Эрвин Роммель, прозвище
Алжир	У сборной какой страны прозвище "лисы пустыни"?
Буссоль	Корабль экспедиции Лаперуза. "Компас" по-французски.
Астролябия	Корабль экспедиции Лаперуза, Остап Бендер
Вся королевская рать	Роман про политика, не брезгующего никакими методами для достижения своей цели. 1946.
Вся королевская рать	Роман Роберта Пенна Уоррена, 1946. Пулитцеровская премия 1947 года.
Роберт Пенн Уоррен	Роман "Вся королевская рать", 1946. Автор.
Георгий Милляр	Кто играл бабу ягу? Советский актёр французского происхождения.
Осип Мандельштам	"Я список кораблей прочёл до середины". Автор.
Бессонница. Гомер. Тугие паруса.	"Я список кораблей прочёл до середины". Как называется и начинается это стихотворение?
Тристан и Изольда	Они в постели спали через меч
Человек - это звучит гордо!	Крылатая фраза Сатина из "На дне!". Должна щёлкать на Горького и по своей структуре.
Соло на ундервуде	Сборник записных книжек Сергея Довлатова, печатная машинка.
Радио "Свобода"	на нём работал Сергей Довлатов в США
Мюнхенский сговор	Соглашение 4 сторон 1938 года, по которому Германии перешла Судетская область Чехословакии.
Горацио Нельсон	Его тело было доставлено на родину в бочке рома
Невилл Чемберлен	Премьер-министр Великобритании, в 1938 году подписал Мюнхенское соглашение. "Я привёз вам мир!"
Эдуард Даладье	Премьер-министр Франции, в 1938 году подписал Мюнхенское соглашение.
