Эжен Ионеско	Автор пьесы "Стулья" (1952).
Формула согласия	ЭТА книга должна была послужить прекращению распри между ортодоксальными гнесиолютеранами и прокальвинистскими меланхтонистами, возникшей после смерти Лютера.
31 октября 1517 года	В ЭТОТ день Мартин Лютер якобы прибил 95 тезисов к церкви в Виттенберге.
Ульрих Цвингли	христианский философ и гуманист, предводитель реформации в Швейцарии, автор трудов О божественной и человеческой Справедливости (1523) и Провидения (1530). христианский философ и гуманист, предводитель реформации в Швейцарии, автор трудов "О божественной и человеческой Справедливости" (1523) и "Провидения" (1530).
учения о причастии	Цвингли и Лютер сошлись во всех пунктах кроме ЭТОГО. Тремя словами.
Одно место из Блаженного Августина	Причиной дуэли Арамиса и д'Артаньяна стало ОНО.
"Астроном" и "Географ"	Антони ван Левенгук якобы изображен на ЭТИХ картинах Вермеера
Антони ван Левенгук	на картинах "Астроном" и "Географ" Вермеера якобы изображен ОН
Ян Вермеер	Картины "Астроном" и "Географ" написал ОН.
первородный грех	ЭТОТ термин/доктрину ввёл Блаженный Августин.
Блаженный Августин	ОН ввёл доктрину первородного греха.
д'Артаньян и Арамис	"Одно место из Блаженного Августина" стало причиной ИХ дуэли.
саламандра	ЭТИ животные считаются огнеупорными.
О граде Божьем против язычников	один из основных трудов философа и богослова Аврелия Августина, в котором он представил развёрнутую концепцию философии истории. В сочинении впервые в европейской философии изложены линеарная концепция исторического времени и идеи морального прогресса. Пятью словами (хотя спрашивают обычно только первые три).
шесть	за СТОЛЬКО дней в христианстве бог сотворил мир.
"Исповедь" Блаженного Августина	ОНА считается первой развернутой автобиографией в европейской литературе, в течение тысячелетия служила литературным образцом для христианских писателей
Исповедь	общее название 13 автобиографических сочинений Августина Блаженного, написанных на латинском языке около 397—398 года н. э. и рассказывающих о его жизни и обращении в христианство.
Магриб	название, данное средневековыми арабскими моряками, географами и историками странам Северной Африки, расположенным к западу от Египта
Синдром Мюнхгаузена	симулятивное расстройство, при котором человек преувеличенно изображает (симулирует) или искусственно вызывает у себя симптомы болезни, чтобы подвергнуться медицинскому обследованию, лечению, госпитализации, хирургическому вмешательству и т. п.
Когда говорят пушки, музы молчат.	Крылатая фраза про оружие и поэзию.
Черная смерть, черный мор	вторая в истории пандемия чумы, пик которой пришёлся на 1346—1353 годы, а повторные вспышки продолжались вплоть до XIX века. Жертвами болезни стали десятки миллионов людей: по разным оценкам, от болезни погибло от 30 % до 60 % населения Европы. Назовите оба варианта прозвища.
Спиридон Луис	греческий легкоатлет, первый олимпийский чемпион в марафонском беге летних Олимпийских игр 1896 года.
Золотых медалей	На первой олимпиаде 1896 года ИХ не было.
Элиуд Кипчоге	Действующий чемпион мира в марафоне (рекорд на Берлинском марафоне 2022).
Оффшор	ветер, который дует строго от берега в море.
Синдром Аспергера	нарушение психического развития, характеризующееся серьёзными трудностями в социальном взаимодействии, а также ограниченным, стереотипным, повторяющимся репертуаром интересов и занятий. От детского аутизма (синдрома Каннера) он отличается прежде всего тем, что речевые и когнитивные способности в целом сохраняются
проповедь хору	ЭТО американское выражение символизирует бесполезность и бессмысленность убеждения и так уже лояльных сторонников.
Найджел Ричардс	Этот новозеландец является многократным чемпионом по скрэбблу, и даже считается абсолютно лучшим игроком.
Чарльз Ингрэм	майор Британской армии и писатель, ставший скандально известным после обманного выигрыша 1 миллиона фунтов стерлингов в британском телешоу «Who Wants to Be a Millionaire?».
скрэббл	Найджел Ричардс является многократным чемпионом по ЭТОМУ.
кашляющий майор	Чарльз Ингрэм в прессе был назван ТАК.
Зрители кашляли	Именно ТАК передавались подсказки Чарльзу Ингрему на игре "Кто хочет стать миллионером?"
Гугол	Число, которое записывается единицей со ста нулями.
в 1896 в Афинах	Первая современная олимпиада состоялась в ЭТОМ году в ЭТОМ городе.
Ханс Руди Гигер	швейцарский художник, представитель фантастического реализма, наиболее известный своей дизайнерской работой для фильма «Чужой».
швейцарец	Ханс Руди Гигер по-национальности был ИМ.
Korn	Ханс Руди Гигер сдизайнерил микрофонную стойку для вокалиста ЭТОЙ группы.
микрофонная стойка	Ханс Гигер создал ЕЁ для Джонатан Дэвиса из Korn.
Одалиска	прислужница в османском гареме. На Западе они воспринимались как наложницы или сексуальные рабыни, хотя в большинстве случаев они были лишь обычными горничными и служанками.
комнатная девушка	"одалиска" с турецко-османского переводится ТАК.
конкубина	в древнем Риме незамужняя женщина низшего сословия, находившаяся в сожительстве с мужчиной
конкубинат	в римском и византийском праве разрешенное законом постоянное сожительство мужчины и женщины; не признаваемое браком, но имеющее юридические последствия.
Верую, ибо абсудрно	латинское выражение про религию приписываемое Тертуллиану. По-русски.
Тертуллиан	Выражение "Верую, ибо абсурдно" приписывается ЕМУ.
Тертуллиан	один из наиболее выдающихся раннехристианских писателей, теологов и апологетов, автор 40 трактатов, из которых сохранился 31. В зарождавшемся богословии один из первых выразил концепцию Троицы.
Троица	Тертуллиан одним из первых выразил ЕЁ концепцию.
Пассеизм	условное обозначение направления в искусстве в начале XX века. ОН обозначает пристрастие к минувшему, прошлому и равнодушное (враждебное или недоверчивое) отношение к настоящему и будущему.
эскапизм	избегание неприятного, скучного в жизни, особенно путём чтения, размышлений и т. п. о чём-то более интересном; уход от обыденной реальности в инобытие, инореальность, иномирие; бегство от действительности.
ноосфера	гипотетическая сфера взаимодействия общества и природы, в границах которой разумная человеческая деятельность становится определяющим фактором развития
Владимир Вернадский	ЭТОТ российский/украинский/советский ученый известен описанием ноосферы и ноократии
ноократия	вид политического устройства или социальной системы общества, которая «основана на приоритете человеческого разума» при формировании ноосферы Земли согласно представлениям российского учёного Владимира Вернадского и французского философа Пьера Тейяра де Шардена.
Хибакуся	Жертвы атомных бомбардировок Хиросимы и Нагасаки. Переводится с японского как «люди, подвергшиеся воздействию взрыва»
Садако Сасаки	Эта девочка пыталась сложить тысячу бумажных журавликов.
Бомбардировка Хиросимы	Садако Сасаки пострадала во время НЕЁ.
Саманта Смит	американская школьница из штата Мэн, получившая всемирную известность во время холодной войны благодаря переписке с Юрием Андроповым, только что ставшим генеральным секретарём ЦК КПСС.
Ялта	Лагерь "Артек" находится в ЭТОМ городе.
Тысячу бумажных журавликов	Садако Сасаки должна была собрать СТОЛЬКО ИХ.
Корабль Тесея	Когда в вопросе заменили все буквы в слове или все части раздатки, то это намёк на НЕГО.
Кроммионская свинья	в древнегреческой мифологии чудовище. По некоторым источникам, порождение Ехидны и Тифона, по кличке Фэя (Файя). Само имя (др.-греч. Φαιά) означает «пепельно-серая». Убита Тесеем.
Тесей	ОН убил Кроммионскую свинью.
Жорж-Пьер Сёра	Картину "Воскресный день на острове Гранд-Жатт" написал ОН.
в опере в Париже	Легендарная партия Пола Морфи против герцога Брауншвейгского и графа Изуара была сыграна ТАМ.
Рея Сильвия	в римской мифологии мать Ромула и Рема. Двумя словами.
Гипотеза об отсутствии волос	ОНА утверждает, что все изолированные стационарные чёрные дыры описываются решением гравитационных и электромагнитных уравнений Эйнштейна — Максвелла в ОТО и полностью характеризуются всего тремя независимыми внешне наблюдаемыми классическими параметрами: массой, электрическим зарядом и угловым моментом.
У черных дыр нет волос	Легендарная фраза, произнесённая физиком Джоном Уилером
Джон Уилер	ЕМУ приписывается авторство фразы "У черных дыр нет волос".
Людовик XIII	Марлезонский (Мерлезонский) балет был поставлен ИМ.
Похищение сабинянок	Эпизод из легендарной Римской истории, когда на празднике похитили чужих жён из других племён.
Тит Таций	легендарный царь сабинян. После похищения сабинянок добился того, чтобы править совместным государством вместе с Ромулом.
Терминатор	линия светораздела, отделяющая освещённую (светлую) часть тела (например, космического тела) от неосвещённой (тёмной) части. ОН шарообразного тела всегда наблюдается в виде полуэллипса, принимая в конце первой и начале последней четвертей вид прямой линии.
Освещенная (светлая) часть тела от неосвещенной (темной)	Терминатор в астрономии отделяет ПЕРВУЮ от ВТОРОЙ.
сангвис	ЭТОТ латинский корень означает "кровь, жизненная сила".
Гиппократ	Изначально темпераменты описал ОН.
Корпус Гиппократа	сборник сочинений древнегреческого целителя, врача и философа Гиппократа. По мнению исследователей, часть сочинений имеет другое авторство.
Гален	Теорию Гиппократа о темпераментах позднее развил ОН.
Андреас Везалий	основоположник научной анатомии. До него около 1300 лет анатомия основывалась на работах Галена.
О строении человеческого тела	Главный труд Андреаса Везалия, об анатомии.
Гуморальная теория	ОНА заключается в представлении о том, что в теле человека текут четыре основные жидкости (гуморы): кровь, флегма (слизь), жёлтая жёлчь и чёрная жёлчь.
жизненные соки	Гален, используя гуморальную теорию, считал, что темперамент человека определяют ОНИ.
Берег Скелетов	часть побережья Намибии, располагающаяся к северу от Свакопмунда и заканчивающаяся у устья реки Кунене в Анголе.
Берег Скелетов	На НЕГО в Намибии выбрасывало корабли, и выжившие умирали в пустыне.
Намибия	Берег Скелетов находится в ЭТОЙ стране.
Казахстан	Поющий бархан находится в ЭТОЙ стране.
Запоминается последняя фраза	ЭТО Штирлиц вывел для себя, словно математическое доказательство
Штирлиц	ОН вывел для себя, что "запоминается последняя фраза".
Выход через сувенирную лавку	британо-американский полнометражный документальный фильм 2010 года режиссёра Бэнкси про «уличных» художников, в том числе и про самого Бэнкси.
Бэнкси	Фильм "Выход через суверную лавку" снял ЭТОТ режиссёр.
Черный пенни	первая в истории почтовая марка стандартного типа. Выпущена в Англии в 1840 году.
Угодило зёрнышко промеж двух жерновов	второе автобиографическое произведение Александра Солженицына, являющееся продолжением книги «Бодался телёнок с дубом». В очерках описываются события 1974—1994 годов, после высылки автора из СССР и вплоть до возвращения в Россию в 1994 году.
Бодался теленок с дубом	автобиографическое произведение Александра Солженицына. В очерках описываются события с середины 1950-х по 1974 год включительно (высылка автора из СССР и начало жизни за границей). Значительную часть очерков занимает описание литературных встреч и событий, связанных с журналом «Новый мир» (в частности, подробно описана история публикации рассказа «Один день Ивана Денисовича») и его главным редактором Александром Твардовским. Четырьмя словами.
персидская княжна	ЕЁ, согласно фольклору, Стенька Разин утопил, бросив за борт.
Степан Разин	Утопление персидской княжны -- ЕГО рук дело.
Из-за острова на стрежень...	В ЭТОЙ народной песне упоминается утопление персидской княжны Стенькой Разиным.
Алексей Михайлович Тишайший	Восстание Стеньки Разина было при ЭТОМ царе.
Слово и дело государево	порядок участия в политическом сыске в России XVII — XVIII веков и принятое условное выражение, произнесение которого свидетельствовало о готовности дать показания (доклад, донос) о неправде государя или государственном преступлении.
Слово и дело государево	Доносы на других граждан России за плохие слова о государе, которые считались госизменой. Особо популярны были при Петре Первом.
Приказ тайных дел	один из приказов в Русском царстве, созданный для наблюдения за управлением в государстве, за точным исполнением царских указов и для производства следствия по важнейшим преступлениям против государства.
Спагеттификация	астрофизический термин для обозначения сильного растяжения объектов по вертикали и горизонтали, вызванного большой приливной силой в очень сильном неоднородном гравитационном поле. В предельных случаях, когда объекты находятся возле чёрных дыр, деформация при подобном растяжении настолько сильна, что никакой объект не может сохранить свою структуру.
Спагеттификация	Космонавт, пролетая через горизонт событий черной дыры, подвергется ЭТОМУ процессу.
Роман с камнем	американский приключенческий фильм 1984 года режиссёра Роберта Земекиса. Премьера состоялась 30 марта 1984 года, а в следующем году на экраны вышло продолжение — «Жемчужина Нила».
Роберт Земекис	Фильм "Роман с камнем" снял ОН.
Кирибати	единственное государство, расположенное сразу в двух парах полушарий Земли: Северном, Южном, Западном и Восточном[
Кирибати	В ЭТОЙ стране раньше всего на Земле наступает новый календарный день.
25 часов	Разница между некоторыми зонами Кирибати и некоторыми островами океании достигает СТОЛЬКИ.
Гурии	в Коране райские девы, которые будут супругами праведников в раю.
72	Количество гурий в раю на одного человека доходит до СТОЛЬКИ.
лепта	монета в Древней Греции, денежная единица современной Греции (до 2002 года). Название происходит от др.-греч. слова со значением «маленький», «тонкий».
лепта вдовицы	выражение, означающее: жертва количественно малая, но большая по своей духовной (внутренней) ценности. Возникло из Библии: в рассказе о пожертвованиях в сокровищницу Иерусалимского храма щедрые взносы богатых, жертвоваших от избытка, противопоставлены скромному приношению бедной женщины, пожертвовавшей всё, что она имела.
Лямбда	На письме греческую монету лепту обозначают ЭТОЙ буквой.
сокровищница Иерусалимского храма	"лепта бедной вдовицы" была пожертвана в НЕЁ.
Эллипсис	в лингвистике — пропуск в тексте или речи элемента предложения, который восстанавливается посредством контекста.
Эллипсис	"Я знаю как!" -- а что именно знаешь, можно восстановить из контекста. Это пример ЕГО.
Твигги	в обиходе анорексию (из-за подражания супермодели) стали называть ТАК.
Твигги	Худая британская супермодель получила ЭТО прозвище, означающее "тоненькая, хрупкая".
twig	"Тростинка" по-английски.
тоненькая, хрупкая	Псевдоним Twiggy обозначал ЭТО.
клепсидра	ОНА по-гречески буквально "крадущая воду".
клепт	греческий корень со значением "красть".
Гуттаперчевый мальчик	повесть (рассказ) русского писателя Д. В. Григоровича о мальчике-акробате. Опубликована в 1883 году в журнале «Нива».
Дмитрий Григорович	Повесть "Гуттаперчевый мальчик" написал ОН.
акробат	Под "гуттаперчевым мальчиком" в повести Григоровича подразумевался ОН.
Янаки, Ставраки, папа Сатырос	ЭТИ три грека везли контрабаду в Одессу.
Контрабандисты	В ЭТОМ стихотворении Эдуарда Багрицкого появляются Янаки, Ставраки и папа Сатырос.
Эдуард Багрицкий	ОН написал стихотворение "Контабанда" про трёх греков.
По рыбам, по звездам
Проносит шаланду:
Три грека в Одессу
Везут контрабанду.	Первые 4 строчки стихотворения "Контрабанда" Багрицкого.
шелкография	метод воспроизведения как текстов и надписей, так и различных изображений (монохромных или цветных) при помощи трафаретной печатной формы ("матрицы"), представляющей собой мелкоячеистую сетку, сквозь незакрытые отверстия которой краска переносится на запечатываемую поверхность. Одним словом.
Энди Уорхол	ОН особенно известен шелкгорафиями. Был одним из первых, кто применил этот метод для создания картин.
Диптих Мэрилин	знаменитое шелкографическое полотно американского художника Энди Уорхола, выполненное в стиле поп-арт. 50 Норм Джин Бейкер.
50	СТОЛЬКО портретов Мэрилин Монро на "Диптихе Мэрилин" Уорхола.
ампелография	наука о видах и сортах винограда, о закономерностях изменчивости их свойств под влиянием среды и направленного воздействия человека.
ампелос	греческий корень со значением "виноград".
Острые предметы	Американский телевизионный мини-сериал в жанре психологического триллера, основанный на одноимённом дебютном романе Гиллиан Флинн 2006 года. Журналистка возвращается в родной город написать о пропаже девушки, но тут вскрываются её прошлые травмы.
До	японский корень, который означает "путь".
путь	корень "до" с японского означает ЭТО.
гренадеры и вольтижеры	Наполеоновская армия: большие штыковые -- это ПЕРВЫЕ, а маленькие стрелки -- это ВТОРЫЕ
вольтижеры	Появление ИХ во французской армии во многом объясняется ещё и тем, что Наполеон использовал опыт Древнего Рима, а также желал отметить храбрых солдат, которые не могли из-за малого роста быть зачисленными в роты гренадер или карабинеров.
Наполеон	ОН ввёл в армию престижную должность вольтижера.
Шассёры	части французской лёгкой пехоты или лёгкой кавалерии, обученные быстрым действиям, французский аналог егерей.
Улыбка Глазго / Улыбка Челси	раны на лице, наносимые ножом или другим острым предметом от уголков рта и почти до ушей. Оба варианта названия.
trailblazer	"Первопроходец" по-английски.
майевтика	термин диалога Платона «Теэтет», означающий метод философствования, созданный Сократом, заключающийся в раскрытии истины путём последовательных вопросов, через «испытание»
повивальная бабка, повитуха	слово "майевтика" происходит от греческого корня с ЭТИМ значением.
повитуха	женщина, чья роль заключается в том, чтобы помочь ребёнку появиться на свет. Этим словом в России до начала XX века называли акушерок.
Теэтет	сократический диалог Платона, посвящённый природе знания. Написан приблизительно в 369 до н. э.
Сказка о мертвой царевне и семи богатырях	"Свет мой, зеркальце, скажи" -- из ЭТОГО произведения Пушкина.
Wonder Woman	Принцесса амазонок из DC Comics. По-английски.
Чудо-женщина	Принцесса амазонок из DC Comics. По-русски.
Диана	Чудо-женщина из комиксов на родине известна под ЭТИМ именем.
Мы — лёд	"Лёд под ногами майора" — из ЭТОЙ песни "Гражданской Обороны".
Артемизия Джентилески	Первая женщина, избранная в члены Академии живописного искусства во Флоренции — первой художественной Академии Европы
Артемизия Джентилески	Имя ЭТОЙ художницы происходит от имени богини Артемиды.
пророк Даниил	ОН спас Суссану, допросив лжесвидетелей по-отдельнгости.
апокриф	произведение религиозной литературы (иудейской и христианской), преимущественно посвящённое событиям и лицам Священной (ветхо- и новозаветной) и церковной истории, не включённое в канон Церковью.
Сусанна	еврейка из Вавилона, за которой два старца подглядывали в саду во время её купания, а затем угрожая обвинить её в прелюбодеянии с незнакомцем, попытались добиться от неё благосклонности.
Сусанна и старцы	Сюжет из книги пророка Даниила про женщину и двух лжесвидетелей.
Сусанна и старцы	Когда на картине нагая женщина и два старика за ней подглядывают, то это ЭТОТ сюжет.
Иаиль и Сисара	ЭТОТ сюжет из ветхого заведа похож на сюжет про Юдифь и Олоферна.
Царица Савская	ОНА известна визитом к царю Соломону в Иерусалим.
Артемизия Джентилески	ОНА была в юношестве изнасилована другим художником, что сказалось на её творчестве, где много картин про угнетение мужчины женщиной.
Скакун Игга	Дословно «Иггдрасиль» означает ЭТО. Кеннинг такой кеннинг.
Сунь-цзы	"Искусство войны", автор.
Искусство войны	Знаменитый трактат Сунь-цзы.
7 декабря 1988	Землетрясение в Армении произошло в ЭТУ дату.
Спитакское землетрясение, Ленинаканское землетрясение	Землетрясение в Армении в 1988 году известно под ЭТИМИ двумя названиями.
Гюмри	Город Ленинакан сейчас называется ТАК.
18 апреля 1906	Крупнейшее землетрясение в Сан-Франциско произошло в ЭТУ дату.
Хелен Филдинг	Фильм "Дневник Бриджит Джонс" является экранизацией ЕЁ книги.
Василий Перов	ЭТОТ художник тоже был уроженцем Тобольска. Не только Менделеев!
Эх, тройка! птица тройка, кто тебя выдумал?	"... знать, у бойкого народа ты могла только родиться, в той земле, что не любит шутить, а ровнем-гладнем разметнулась на полсвета, да и ступай считать версты, пока не зарябит тебе в очи." Назовите начало цитаты из "Мёртвых душ".
Птица-тройка	ТАК назвал тройку Гоголь в "Мёртвых душах". На этом может строиться замена в вопросе.
Мертвые души	"Эх, тройка! птица тройка, кто тебя выдумал?" — Откуда цитата?
calque	"копия" по-французски
Ричард Да-и-Нет	ДРУГОЕ прозвище Ричарда I Львиное Сердце.
