Капский полуостров	Столовая Гора находится на НЁМ.
интерробанг	Лигатура, представляющая собой наложение вопросительного и восклицательного знаков.
риторический вопрос	Символ интерробанг предназначался для обозначения ЕГО.
Клюз	Круглое, овальное или прямоугольное отверстие в фальшборте, палубе или борту, окантованное литой рамой или металлическим прутом, служащее для пропускания и уменьшения перетирания якорной цепи (каната), швартовных концов или буксирного каната.
якорь в клюз	Из песни "В Кейптаунском порту": 
Во имя Франции вам <...>!
События Мияке	Феномены земной истории планетарного характера, вследствие которых были отмечены существенные скачки атмосферной концентрации радиоактивного изотопа углерода, в частности, пик в 774 и пик в 993 годах.
Скачки активности радиоуглерода в атмосфере	Феномен "события Мияке" описывает несколько ИХ.
Fidget Cube	Антистрессовый кубик с разными элементами на разных гранях.
Поп-ит	Кнопочная игрушка, получившая популярность среди детей и подростков весной 2021 года. Представляет собой резиновую или силиконовую игрушку с полусферами для нажатия, при котором издаётся щёлкающий звук. Часто раскашена радужно.
Симпл-димпл	От поп-ита ОН отличается тем, что каждая ямочка заключена в пластиковую основу, и пузырьки имеют отличающиеся друг от друга размеры, когда как в поп-ите все пузырьки одинаковые.
Воробей	Фамилия Врубель происходит от польского слова со значением ОН.
Врубель	ЭТА фамилия восходит к польскому слову со значением "воробей".
КВАС и ЛГБТ	Если в ЭТОМ напитке сдвинуть буквы на одну по алфавиту, получится ЭТА «экстремистская организация».
Boris Badenov (Борис Баденов)	Антагонист анимированных мультфильмов 1959-1964 гг. Рокки и его друзья и Буллвинкл Шоу. Черно-белый злой шпион в шляпе и пальто.
Natasha Fatale	Boris Badenov часто действует вместе с НЕЙ.
Шоу Рокки и Буллвинкля	Борис Баденов и Наташа Фатале — это антигерои из ЭТОГО американского мультфильма.
Циклы Кондратьева	периодические циклы сменяющихся подъёмов и спадов современной мировой экономики продолжительностью 45—60 лет, описанные в 1920-е годы.
Парселтанг (Parceltongue)	Змеиный язык из Гарри Поттера.
Змеиный язык	Парселтанг (Parseltongue) из Гарри Поттера — это ОН.
Charley horse	Английское выражение, означающее судорогу в ноге/икре/ступне.
Судорогу в ноге	Выражение Charley horse означает ЕЁ.
Селина Кайл	Настоящее имя Женщины-кошки из Бэтмена.
Женщина-кошка	Селина Кайл — это ОНА.
Польское Бюро Шифров	В период до Второй мировой наибольших успехов в дешифровке «Энигмы» достигли в НЁМ.
Мариан Адам Реевский	Польский математик и криптограф. Совместно с Генриком Зыгальским и Ежи Ружицким в 1932 году разгадал механизм машины «Энигма», главного шифровального устройства, использовавшегося нацистской Германией.
Кира	главный герой аниме и манги «Тетрадь Смерти». Найдя в школьном дворе тетрадь смерти, он решает использовать её, чтобы избавить мир от преступников, но впоследствии начинает злоупотреблять своим возможностями. Назовите его прозвище.
Лайт Ягами	Настоящее имя Киры из "Тетради Смерти".
L	один из главных героев аниме и манги «Тетрадь смерти». Считается лучшим детективом мира, расследует дело серийного убийцы по прозвищу Кира. Назовите его прозвище.
Ружья, микробы и сталь: судьбы человеческих обществ	Междисциплинарная научно-популярная книга американского учёного Джареда Даймонда, удостоенная Пулитцеровской премии в номинации за нехудожественную литературу в 1998 году. 

Назовите ПОЛНОЕ НАЗВАНИЕ книги.
Джаред Даймонд	"Ружья, микробы и сталь: судьбы человеческих обществ". Кто автор книги?
Ружья, микробы и сталь	ЭТА книга пытается объяснить, почему евразийские цивилизации (включая Северную Африку) выжили и заняли доминирующее положение в мире, в то же время отрицая идею, что евразийское доминирование вызвано интеллектуальным, моральным или генетическим превосходством.
Можжевельник	В джине как основная пряность используется ОН.
Джин	Можжевельник используется как основная пряность для ЭТОГО алкогольного напитка.
Женевер	крепкий (от 30 до 48 % крепости) спиртной напиток, полученный путём дистилляции переброженного сусла из соложенного ячменя и ароматизированного ягодами можжевельника с другими пряностями. Считается традиционным напитком в Нидерландах и Бельгии.
Голландский джин	Женевер — это ТАКОЙ ОН.
Йеркиш	Искусственный язык, разработанный в 1970-х годах Эрнстом фон Глазерсфельдом совместно с группой исследователей для обучения человекообразных обезьян.
Лексиграммы	Для описания слов в йеркише используются ОНИ, которые представляют нерепрезентативные символы, то есть, символы, не похожие на предмет, которые они обозначают.
Лана	Обезьяна (названа в честь проекта), которая обучалась строить предложения через лексиграммы в Йеркише.
Канзи	Самец карликового шимпанзе (бонобо), задействованный в нескольких исследованиях по обучению обезьян языку. По словам Сью Сэведж-Рамбо, приматолога, изучавшего бонобо на протяжении всей своей жизни, ОН демонстрирует передовые языковые способности. Его часто называют обезьяньим гением, по интеллекту он сравним с двух-трёхлетним ребёнком.
Айны	Народ, древнейшее население Японских островов. Некогда они жили также и на территории современной России в низовьях Амура, на юге полуострова Камчатка, Сахалине и Курильских островах.
Звездные войны	Когда-то в каком-то произведении/серии итд выпуски/главы/серии идут не в прямом временном порядке, это часто отсылка к НИМ.

#стандартные-ходы
Аэрогами	Складывание бумажник самолетиков, вертолетиков итд — на японский манер называется ТАК.
Мои читатели	Стихотворение Николая Гумилёва, написанное в 1921 году и считающееся своеобразным завещанием поэта.
Николай Гумилев	"Мои читатели" — это ЕГО стихотворение.
Верлибр	В разной степени свободный от жёсткой рифмометрической композиции стих, занявший довольно широкую нишу в западной, в частности — англоязычной, поэзии XX века. Это тип стихосложения, для которого характерен последовательный отказ от всех «вторичных признаков» стиховой речи: рифмы, слогового метра, изотонии и изосиллабизма (равенства строк по числу ударений или слогов) и регулярной строфики.
Свободный стих	Верлибр на русский манер называется ТАК.
Сара Ректор	Афроамериканка, получившая известность как богатейшая «чёрная» девушка в мире. За счёт того, что на её участке нашли нефтяное месторождение.
Белым человеком	Штат Оклахома из-за богатства Сары Ректор признал её ИМ.
Ирландец	Бернард Шоу по национальности был ИМ.
Бернард Шоу и Боб Дилан	Только эти два человека получили и Оскар, и Нобелевскую премию по литературе.
Эдгар По	В ЕГО рассказе похищенное письмо было спрятано "у всех на виду".
Похищенное письмо / Украденное письмо.	В этом классическом детективном рассказе искомый предмет был спрятан "на самом видимом месте". Назвать оба варианта перевода названия.
Огюст Дюпен	Этот сыщик появляется в трёх рассказах Эдгара По — «Убийство на улице Морг», «Тайна Мари Роже», и «Похищенное письмо».
Тайна Мари Роже	В этом рассказе Эдгара По продавщица парфюма пропадает, возвращается, потом опять пропадает через три года, и на этот раз её убивают.
Моряк	В рассказе "Тайна Мари Роже" преступник по профессии был ИМ.
Каледония	Древнее название северной части острова Великобритания, к северу от вала Адриана или вала Антонина, отождествляется с нынешней Шотландией.
Фульхенсио Батиста-и-Сальдивар	Кубинский правитель перед Кастро. Был свергнут в ходе Кубинской революции 1 января 1959 г
Грэм Грин	"Наш человек в Гаване" -- кто автор романа?
Наш человек в Гаване	Пародийный шпионский роман Грэма Грина. Действие происходит на Кубе во времена Батисты.
Никелевая лихорадка	В связи со стоимостью входного билета, ажиотаж с посещением кинотеатров в США в начале 20 века прозвали ТАК.
Никелодеон	Открывающиеся в связи с массовым успехом кино множественные кинотеатры в начале 20 века прозвали ТАК.
Шкала Кинси	Попытка измерить сексуальную ориентацию людей по шкале от нуля (исключительно гетеросексуальная ориентация) до 6 (исключительно гомосексуальная ориентация).
От 0 до 6	В шкале Кинси ориентацию измеряют в ТАКОМ диапазоне.
Мы будем сражаться на пляжах	Речь Уинcтона Черчилля, произнесённая им 4 июня 1940 года перед палатой общин. Второе выступление перед парламентом в качестве премьер-министра после вступления Великобритании во Вторую мировую войну. Почти через месяц после речи «Кровь, пот и слёзы».
Уинстон Черчилль	"Мы будем сражаться на пляжах" — призывал в своей речи ОН.
"Брак в Кане Галилейской" Паоло Веронезе	Эта картина висит в Лувре напротив Мона Лизы, поэтому считается, что на неё никто не смотрит.

Назовите картину и автора.
Черный обед	Историческое событие, произошедшее в 1440 году в Эдинбурге. Стало прототипом "красной свадьбы" в Игре Престолов.
Регент	Правитель, который правит страной в виде опекуна, при малолетнем государе.
Война Пяти Королей	Война, которая шла в вымышленном мире, изображённом в серии книг Джорджа Мартина «Песнь льда и огня», а также в сериале «Игра престолов».
Красная свадьба	"Черный обед" из истории Шотландии стал прототипом ЕЁ.
Бернард Дэвид Сэдоу	ОН считается изобретателем чемодана на колёсиках.
Чемодан на колёсиках	Бернанд Сэдоу считается изобретателем ЭТОГО.
Рука бога	Когда в вопросе речь идёт про некое обидное поражение англичан, то в ответе часто бывает ОНА.

#стандартные-ходы
умбра	Тень по-итальянски (русское написание).
ombra	Тень по-итальянски (латинское написание).
бакет-лист (bucket list)	Список того, что нужно сделать, пока ты жив. Происходит от английской идиомы со значением "умереть".
to kick the bucket	Английская идиома, которую можно перевести как "сыграть в ящик".
Гаргантюа	ЭТОТ персонаж считал что «лучшая подтирка — это гусёнок!»
Лучшая в мире подтирка - это пушистый гусенок	К этому выводу про аналог туалетной бумаги пришёл Гаргантюа в романе Рабле.
Пятна Лярше	Абсолютный признак смерти, образующийся в процессе высыхания роговицы при открытых глазах трупа.
Это треугольные, несколько сморщенные участки, серовато-желтоватого цвета, на фоне прозрачной блестящей роговицы.
Треугольник	Пятна Лярше у трупа имеют ТАКУЮ форму.
Отбеливатель	Название первого альбома "Нирваны" можно перевести ТАК.
Bleach	Первый альбом Нирваны по-английски называется ТАК.
Отточие	Пространство между позициями табуляторов, заполненное повторяющимися символами (как правило, точками). Часто используется в оглавлениях книг между названиями разделов и номерами страниц. 

Например:
ВВЕДЕНИЕ.................10 
ГЛАВА 1..................14 
 Подраздел...............20 
ГЛАВА 2..................46
Птичье гнездо	Пекинский национальный стадион также известен под ТАКИМ прозвищем.
Пекин	Олимпийский стадион "Птичье гнездо" находится в ЭТОМ городе.
Panis	Латинский корень, означающий хлеб
компаньон	Это слово происходит от франц/лат "тот, с кем вместе едят хлеб".
Орлиное гнездо	Чайный домик, построенный с 1937 по 1938 гг., как подарок НСДАП на 50-летний юбилей Адольфа Гитлера. Как перевести название на русский?
Кельштайнхаус	Чайный домик Гитлера, транскрипция с немецкого.
Бандероль	ЭТО слово происходит из французского (латинского) со значением "вымпел знамя, флажок".
Роди́ния	Гипотетический суперконтинент, предположительно существовавший в протерозое — эоне докембрия. 

То есть ещё ДО её распада до Прото-Лавразии и Прото-Гондваны.
Мировия	Во времена протоконтинента Родиния Земля состояла из одной гигантской части суши и одного гигантского океана, который назывался ТАК.
Панталасса и Панафрикан	Протоокеан Мировия разделился на ЭТИ два океана.
Паннотия	После распада Родинии на Прото-Лавразию (северный континент) и Прото-Гондвану (южный континент) континенты вновь объединились в ЭТОТ суперконтинент.
Паннотия	ОНА распалась на континент Гондвана и мини-континенты Балтики, Сибири и Лаврентии.
Пангея	ЭТОТ суперконтинент объединил существовавшие в те времена материки — Гондвану, Лавруссию и Сибирь.
Миньян	Необходимый кворум для совершения публичного богослужения и проведения ряда религиозных обрядов в иудаизме.
Романеско	Эта капуста имеет фрактальное строение.
Естественный фрактал	Форма капусты романеско представляет собой ЕГО.
Роберт Першинг Уодлоу	Самый высокий зарегистрированный человек в истории, согласно Книге рекордов Гиннесса, о росте которого имеются несомненные сведения.
Роберт Уодлоу	ЕГО памятник вдвое выше стандартного на кладбище.
Чандра Бахадур Данги	Непальский гражданин, признанный самым низкорослым в истории взрослым мужчиной, о котором имеются достоверные сведения; в этом качестве занесён в Книгу рекордов Гиннесса.
Джон Брауэр Миннок	Самый тяжёлый человек в истории медицины. В максимуме его вес оценивался около 645 кг, взвешивание было невозможным из-за размеров его тела, плохого состояния здоровья и полного отсутствия способности к передвижению.
Бархатная бензопила	Американский сатирический фильм ужасов 2019 года режиссёра и сценариста Дэна Гилроя. Проданные картины мертвого художника начинают мистически мстить.
green fingers (зеленые пальцы)	В Британии есть ТАКОЕ выражение: так говорят о людях, у которых в саду, огороде и даже цветочных горшках на подоконнике все цветет и колосится.
Матч по крикету между сборными Англии и Австралии	Кубок The Ashes ("Урна с прахом") вручается победителю ЭТОГО матча.
The Ashes ("Прах", "Пепел", "Урна с прахом")	Победителю матча по крикету между Англией и Австралией вручается ЭТОТ кубок.
Прах английского крикета	В кубке за матч по крикету между Англией и Австралией сатирическит находится ЭТО.
Крокет	Молотком мяч в ворота загоняют в ЭТОЙ английской игре.
Крикет	Британоимперская командная игра с битой и мячом, но БЕЗ молотков. Отдалённо похожа на бейсбол.
Крикет	В Индии, как в бывшей британской колонии, популярная ЭТА игра. И никаких молотков!
Балясины	В архитектуре — невысокие фигурные столбики в виде колонн (иногда с резным декором), поддерживающие поручни перил ограждений балконов, лестниц и т. д.; изготовляются из дерева, камня, металла, мрамора и др.
Цветок дикого граната.	Слово балясина происходит от греческого слова с ЭТИМ значением (по форме похожа чашечка балюстрады). В ответе три слова.
Балюстрада	Ограждение (обычно невысокое) лестницы, балкона, террасы, и так далее, состоящее из ряда фигурных столбиков (балясин), соединённых сверху поручнем или горизонтальной балкой; перила из фигурных столбиков.
Балюстрада	Ограждающие по бокам конструкции эскалатора также называются ТАК.
Контролер универмага	Короткометражный фильм Чарли Чаплина, выпущенный 15 мая 1916 года. Про проворовавшихся сотрудников магазина.
Огни рампы	Фильм Чаплина про клоуна и балерину. Трагикомедия.
Рампа	Невысокий длинный барьер, проходящий вдоль авансцены и прикрывающий со стороны зрительного зала приборы для освещения сцены.
Пороховая бочка Европы	Балканы в истории часто называли ТАК. Тремя словами.
Балканы	"Пороховая бочка Европы" — это ОНИ.
лядвея	устар. то же, что бедро; часть ноги человека или задней конечности животного от таза до колена
лядвея	Бедро по-старославянски называлось ТАК.
Бедро	Лядвея по-старославянски — мы сейчас назовём её ОНО.
Bésame mucho	Скажите по-испански "целуй меня много!"
Целуй меня много	"Бесаме мучо" с испанского переводится ТАК.
Консуэло Веласкес	Авторка легендарной песни "Бесаме мучо".
Ташкент	Скажите по-тюркски "каменный город".
Каменный город	Ташкент с тюркского переводят как ТАКОЙ ОН.
Нуклеарная семья	Семья, состоящая из родителей (родителя) и детей либо только из супругов; на первый план выдвигаются при этом отношения между супругами (представителями одного поколения), а не отношения между представителями разных поколений (родителями и детьми). 

Противопоставляется расширенной (или сложной) патриархальной семье традиционного типа, в состав которой входит несколько супружеских пар или, как минимум, несколько поколений взрослых людей.
Расширенная семья	Сложносоставная семья, состоящая из нескольких поколений.
Нуклеарная семья	Когда молодые супруги живут отдельно от родителей — это ТАКАЯ ОНА.
Письмо "Из ада"	название, данное письму, отправленному в 1888 году человеком, который, как считается, мог быть известным убийцей Джеком-потрошителем.
Джек-Потрошитель	Письмо "Из ада" якобы отправил ОН.
Половина человеческой почки	В "письме «Из ада»" в ящичке помимо письма находилась ОНА. 

Тремя словами.
Федеральные воздушные маршалы	ОНИ инкогнито находятся на гражданских рейсах в целях обнаружения и борьбы с враждебными действиями против США, в том числе угонов самолётов.

Назовите ИХ тремя словами.
FAMS	Служба воздушных маршалов в США называется ЭТОЙ аббревиатурой.
Федеральная служба воздушных маршалов	Агенты безопасности на гражданских рейсах в США служат в НЕЙ. Четырьмя словами.
Potatoes	Из-за мисспеллинга кличка ЭТОГО жеребца стала писаться через 8 букв О. Назовите его оригинальную кличку.
Potoooooooo / Pot-8-Os	Из-за мисспеллинга (неправильно поняли на слух) кличку жеребца Potatoes стали писать ТАК.
8	СТОЛЬКО букв О на конце кличке жеребца 18 века, которого неверно записали на скачках.
Эктродактилия	Врождённый порок развития, характеризующийся отсутствием или недоразвитием одного или нескольких пальцев кистей и (или) стоп.
Вадома	Некоторые представители ЭТОГО народа характеризуются генетической особенностью, именуемой эктродактилия, при которой три средних пальца ноги отсутствуют, а два крайних пальца повёрнуты внутрь. В силу этой особенности членов племени прозвали «двупалыми» или «страусоногими».
Инбридинг	форма гомогамии, скрещивание близкородственных форм в пределах одной популяции организмов (животных или растений).
Двупалые / страусоногие	Из-за деформации пальцев ног племя вадома прозвали ТАК.
Зимбабве	Племя вадома ("страусоногие") живут на севере ЭТОЙ страны.
Каури-монета	Раковина ЭТОГО моллюска использовалась в прошлом в качестве товарных денег.
Охвостье	Принятое в исторической литературе название английского парламента в период с 1648 по 1652 год.
Пресвитерианство	Направление в протестантизме, признающее кальвинистскую теологию и отвергающее церковную иерархи. Исторически связано с английской традицией умеренного пуританства. Континентальным его аналогом является реформатская церковь.
Прайдова чистка	событие времён Английской революции, в ходе которого отряд парламентской армии выдворил из палаты общин депутатов-пресвитериан, выступавших за сохранение в стране королевской власти.
Карл I	30 января 1649 по решению Охвостья был казнён ОН.
Галстук Боло	Необычный тип галстука, характерный для южных и западных штатов Соединенных Штатов Америки. Галстук в виде шнурка с орнаментальным зажимом или оригинальным узлом. Неотъемлемый атрибут стереотипного ковбоя.
Ковбой	Галстук Боло (галстук-шнурок) носит стереотипный ОН.
Луи-Филипп I	Голову ЭТОГО короля на карикатурах изображали в виде груши.
Груша	Луи-Филипп на карикатурах изображался в виде ЕЁ.
Июльская монархия	Период в истории Франции от революции 1830 года, покончившей с режимом Реставрации, до Февральской революции 1848 года, установившей Вторую республику.
Жильбер Ла Файет	После взятия Бастилии (14 июля 1789 года) ЭТОТ маркиз «демократизировал» свою аристократическую фамилию, начав писать её слитно.
Другая дорога	Классическое стихотворение Роберта Фроста про сложность и важность выбора жизненного пути.
"Другая дорога" Роберта Фроста	Когда в вопросе идёт речь о параллельных версиях одной жизни или критичном выборе в жизни, это часто отсылка к ЭТОМУ произведению. Назовите произведение и его автора.

#стандартные-ходы
Роберт Фрост	Стихотворение "Другая дорога" про выбор жизненного пути написал ОН.
Динь-Динь	фея, из сказки Джеймса Барри «Питер Пэн».
Фея из сказки "Питер Пэн"	Динь-Динь — это ОНА ОТТУДА.
Эсперанто	В НЁМ существительные заканчиваются на О.
Заканчиваются на O	Отличительная особенность существительных в эсперанто.
Заканчиваются на A	Отличительная особенность прилагательных в эсперанто.
Заканчиваются на I	Инфинитвы глаголов в эсперанто...
Древенеегипетская книга мёртвых	Сборник египетских заупокойных текстов, написанный преимущественно на папирусе и использовавшийся в период с раннего Нового царства (около 1550-х гг. до н. э.) до приблизительно 50-х годов до н. э. 

Тремя словами (хотя спрашивают обычно два).
Книга Мёртвых	ОНА помещалась в саркофаг к умершему в качестве инструкции, как вести себя в загробном мире.
Источник Q	Гипотетический сборник изречений Иисуса Христа, который авторы Евангелий от Матфея и Луки независимо друг от друга использовали в качестве источника наряду с Евангелием от Марка.
Письмо генералу Z	Cтихотворение Иосифа Бродского, написанное им осенью 1968 года. Произведение стало реакцией поэта на советское вторжение в Чехословакию. Идея произведения и образ его главного героя позаимствованы поэтом из эссе Антуана де Сент-Экзюпери.
Советское вторжение в Чехословакию	"Письмо генералу Z" стало реакцией Бродского на ЭТО.
Антуан де Сент-Экзюпери	Идея стихотворения Бродского "Письмо генералу Z" позаимствована у НЕГО.
Письмо генералу X	В отличие от Бродского, у Экзюпери стихотворение называлось ТАК.
Колхозы	Если Евтушенко против НИХ, то я — за!
Если Евтушенко против [колхозов], то я — за!	Известная фраза Бродского про Евтушенко.
Спорт	ОН — это младший брат войны
Младший брат войны	Спорт — это ОН. Назовите ЕГО тремя словами.
Танки идут по Праге	Стихотворение, написанное советским и российским поэтом Евгением Евтушенко 23 августа 1968 года — через два дня после начала операции ввода объединённой группировки войск СССР в Чехословакию.
Операция "Дунай"	Ввод войск в Чехослова́кию в 1968 имел такое кодовое название.
1968	Операция "Дунай" была выполнена в ЭТОМ году.
Генерал! Наши карты - дерьмо. Я пас.	Первая строчка из стихотворения Бродского "Письмо генералу Z".
Эффект Флинна	Cтатистический феномен, выражающийся в постепенном повышении показателей коэффициента интеллекта (IQ) с течением лет как в отдельных странах, так и в целом по миру.
IQ	Эффект Флинна описывает постепенное увеличение ЭТОГО с течением лет.
Парадокс китайского чиновника	Этический парадокс о том, стоит ли совершить плохой поступок, имея практически полную уверенность, что о нём никогда не узнают.
Франсуа-Рене де Шатобриан	Считается, что ОН первым описал "Парадокс китайского мандарина".
Кольцо Гига	Волшебный предмет, упоминаемый в произведении Платона «Государство», который даёт своему владельцу возможность по желанию становиться невидимым.
"Государство" Платона	"Кольцо Гига" упоминается в ЭТОЙ работе ЭТОГО автора.
Меровей	легендарный король салических франков приблизительно в 447/448—457/458 годах.
Меровей	Несмотря на то, что некоторые историки сомневаются, существовал ли он на самом деле, именно этому полулегендарному королю последующая история обязана наименованием первой династии Франкского государства.
Меровинги	Первая династия Франкского государства.
Чётки	Сборник стихов Ахматовой, в связи с чем ей Цветаева сделала подарок.
Анна Ахматова	"Чётки" — это ЕЁ сборник стихов.
Окно Овертона	социологическая концепция существования рамок допустимого спектра мнений в публичных высказываниях политиков и активистов с точки зрения текущего общественного дискурса. 

#сноб #2сноб
Спираль молчания	ЭТА концепция утверждает, что человек с меньшей вероятностью выскажет своё мнение на ту или иную тему, если чувствует, что находится в меньшинстве, так как боится возмездия или изоляции.
От "Немыслимо" до "Действующая норма"	В Окне Овертона идеи оцениваются по ТАКОЙ шкале.
Сферы Хэллина	ЭТА теория была введена для объяснения механизма освещения Вьетнамской войны (1957—1975) в медиа.
Лестницу, поскорее давайте лестницу!	Последние слова, приписываемые Гоголю.
